districtcode,centile,superzip,rank,adultpop,households,college,income,Unemp..Rate,X..in.Unemp.sample
MA1,60.37489,0,6115,12293,4219,0.2206947,73.40212,0.06,13801
MA2,93.69713,0,975,14232,5081,0.6852867,82.63116,0.09,24551
MA2,58.31555,0,6511,3348,1400,0.2051971,73.19553,0.1,4086
MA2,73.90479,0,3914,8577,3547,0.3138627,79.51516,0.05,11362
MA1,67.29552,0,4922,845,348,0.2579882,77.63875,0.05,997
MA1,69.76566,0,4540,2252,887,0.2779751,78.38147,0.08,2805
MA1,53.51199,0,7461,1392,562,0.2097701,66.25217,0.09,1083
MA1,61.43032,0,NA,353,139,0.2322946,72.73525,0.09,445
MA1,19.7488,0,16563,15464,5902,0.1079281,52.71066,0.1,17682
MA1,35.73232,0,11659,20681,7857,0.1321019,61.70303,0.09,25065
MA1,41.91482,0,10063,1550,492,0.1580645,62.83802,0.25,2294
MA1,71.10106,0,4326,715,285,0.3846154,62.55689,0.06,924
MA1,62.67937,0,5702,12506,4612,0.2483608,71.93761,0.06,14921
MA1,80.53981,0,2888,9871,3997,0.3267146,92.616,0.05,12198
MA1,57.07029,0,NA,402,172,0.2462687,64.56275,0.11,487
MA1,64.45013,0,5401,7865,3228,0.2047044,82.06367,0.05,9589
MA2,51.39536,0,7922,798,310,0.1691729,70.51756,0.13,1231
MA1,76.05653,0,NA,157,48,0.4267516,64.56275,0.04,571
MA1,62.46228,0,5749,4156,1695,0.2295476,74.83395,0.04,4932
MA1,73.71946,0,3939,1332,525,0.3100601,79.89828,0.07,1509
MA2,81.09335,0,2802,3486,1240,0.402467,80.93652,0.05,4347
MA1,82.44339,0,2600,3500,1448,0.3277143,97.4162,0.07,4250
MA2,73.96235,0,NA,456,196,0.3399123,75.187,0.05,570
MA2,71.10281,0,4324,1917,727,0.296818,77.71328,0.06,2077
MA2,76.95435,0,3441,840,307,0.3654762,77.09348,0.03,1323
MA1,76.95435,0,3441,840,307,0.3654762,77.09348,0.03,1323
MA1,25.87038,0,14568,24509,9530,0.1693256,47.24359,0.14,30876
MA1,55.07983,0,7137,1579,677,0.2045598,69.16943,0.05,2045
MA2,82.11803,0,2656,1108,340,0.4142599,81.49094,0.11,1662
MA2,93.36085,0,1022,993,379,0.6263847,89.8975,0.03,1473
MA1,50.34317,0,8153,14770,5492,0.147935,73.02031,0.08,17622
MA1,63.55261,0,5563,5648,2212,0.2266289,76.8215,0.09,6826
MA2,85.23329,0,2185,10508,2740,0.5202703,72.37566,0.07,13202
MA2,77.6789,0,3318,8082,2820,0.3908686,74.4299,0.08,8969
MA2,74.94199,0,3748,1093,480,0.3064959,83.10191,0.08,1488
MA1,44.30692,0,9536,6746,2630,0.1420101,67.69183,0.08,7293
MA2,44.30692,0,9536,6746,2630,0.1420101,67.69183,0.08,7293
MA1,65.58483,0,NA,392,154,0.3214286,63.7455,0.14,518
MA1,45.79738,0,9174,1116,477,0.1729391,63.7455,0.07,1284
MA2,90.28671,0,1468,965,395,0.5906736,78.61945,0.05,1183
MA1,76.38805,0,3534,3669,1536,0.3128918,84.9417,0.04,4647
MA1,73.67162,0,3948,11317,4212,0.3287974,76.61359,0.07,14901
