zipcode,districtcode,city,state.x
1001,MA1,Agawam,MA
1002,MA2,Amherst,MA
1005,MA2,Barre,MA
1007,MA2,Belchertown,MA
1008,MA1,Blandford,MA
1010,MA1,Brimfield,MA
1011,MA1,Chester,MA
1012,MA1,Chesterfield,MA
1013,MA1,Chicopee,MA
1020,MA1,Chicopee,MA
1022,MA1,Chicopee,MA
1026,MA1,Cummington,MA
1027,MA1,Easthampton,MA
1028,MA1,East Longmeadow,MA
1029,MA1,East Otis,MA
1030,MA1,Feeding Hills,MA
1031,MA2,Gilbertville,MA
1032,MA1,Goshen,MA
1033,MA1,Granby,MA
1034,MA1,Granville,MA
1035,MA2,Hadley,MA
1036,MA1,Hampden,MA
1037,MA2,Hardwick,MA
1038,MA2,Hatfield,MA
1039,MA2,Haydenville,MA
1039,MA1,Haydenville,MA
1040,MA1,Holyoke,MA
1050,MA1,Huntington,MA
1053,MA2,Leeds,MA
1054,MA2,Leverett,MA
1056,MA1,Ludlow,MA
1057,MA1,Monson,MA
1060,MA2,Northampton,MA
1062,MA2,Florence,MA
1068,MA2,Oakham,MA
1069,MA1,Palmer,MA
1069,MA2,Palmer,MA
1070,MA1,Plainfield,MA
1071,MA1,Russell,MA
1072,MA2,Shutesbury,MA
1073,MA1,Southampton,MA
1075,MA1,South Hadley,MA
1077,MA1,Southwick,MA
1080,MA1,Three Rivers,MA
1081,MA1,Wales,MA
1082,MA2,Ware,MA
1083,MA1,Warren,MA
1084,MA1,West Chesterfield,MA
1085,MA1,Westfield,MA
1088,MA2,West Hatfield,MA
1089,MA1,West Springfield,MA
1092,MA1,West Warren,MA
1095,MA1,Wilbraham,MA
1096,MA1,Williamsburg,MA
1098,MA1,Worthington,MA
1103,MA1,Springfield,MA
1104,MA1,Springfield,MA
1105,MA1,Springfield,MA
1106,MA1,Longmeadow,MA
1107,MA1,Springfield,MA
1108,MA1,Springfield,MA
1109,MA1,Springfield,MA
1118,MA1,Springfield,MA
1119,MA1,Springfield,MA
1128,MA1,Springfield,MA
1129,MA1,Springfield,MA
1151,MA1,Indian Orchard,MA
1201,MA1,Pittsfield,MA
1220,MA1,Adams,MA
1222,MA1,Ashley Falls,MA
1223,MA1,Becket,MA
1225,MA1,Cheshire,MA
1226,MA1,Dalton,MA
1230,MA1,Great Barrington,MA
1235,MA1,Hinsdale,MA
1236,MA1,Housatonic,MA
1237,MA1,Lanesboro,MA
1238,MA1,Lee,MA
1240,MA1,Lenox,MA
1242,MA1,Lenox Dale,MA
1245,MA1,Monterey,MA
1247,MA1,North Adams,MA
1253,MA1,Otis,MA
1254,MA1,Richmond,MA
1255,MA1,Sandisfield,MA
1256,MA1,Savoy,MA
1257,MA1,Sheffield,MA
1258,MA1,South Egremont,MA
1259,MA1,Southfield,MA
1262,MA1,Stockbridge,MA
1264,MA1,Tyringham,MA
1266,MA1,West Stockbridge,MA
1267,MA1,Williamstown,MA
1301,MA1,Greenfield,MA
1301,MA2,Greenfield,MA
1330,MA1,Ashfield,MA
1331,MA2,Athol,MA
1337,MA1,Bernardston,MA
1338,MA1,Buckland,MA
1339,MA1,Charlemont,MA
1340,MA1,Colrain,MA
1341,MA1,Conway,MA
1342,MA2,Deerfield,MA
1344,MA2,Erving,MA
1346,MA1,Heath,MA
1349,MA2,Millers Falls,MA
1350,MA1,Monroe Bridge,MA
1351,MA2,Montague,MA
1355,MA2,New Salem,MA
1360,MA2,Northfield,MA
1364,MA2,Orange,MA
1366,MA2,Petersham,MA
1367,MA1,Rowe,MA
1368,MA2,Royalston,MA
1370,MA2,Shelburne Falls,MA
1370,MA1,Shelburne Falls,MA
1373,MA2,South Deerfield,MA
1375,MA2,Sunderland,MA
1376,MA2,Turners Falls,MA
1378,MA2,Warwick,MA
1379,MA2,Wendell,MA
1420,MA2,Fitchburg,MA
1420,MA3,Fitchburg,MA
1430,MA3,Ashburnham,MA
1431,MA3,Ashby,MA
1432,MA3,Ayer,MA
1436,MA2,Baldwinville,MA
1438,MA2,East Templeton,MA
1440,MA3,Gardner,MA
1440,MA2,Gardner,MA
1450,MA3,Groton,MA
1451,MA3,Harvard,MA
1452,MA2,Hubbardston,MA
1453,MA3,Leominster,MA
1453,MA2,Leominster,MA
1460,MA3,Littleton,MA
1462,MA3,Lunenburg,MA
1463,MA3,Pepperell,MA
1464,MA3,Shirley,MA
1467,MA3,Still River,MA
1468,MA2,Templeton,MA
1469,MA3,Townsend,MA
1473,MA3,Westminster,MA
1474,MA3,West Townsend,MA
1475,MA2,Winchendon,MA
1475,MA3,Winchendon,MA
1501,MA2,Auburn,MA
1503,MA3,Berlin,MA
1504,MA2,Blackstone,MA
1505,MA2,Boylston,MA
1506,MA1,Brookfield,MA
1507,MA1,Charlton,MA
1510,MA3,Clinton,MA
1515,MA1,East Brookfield,MA
1516,MA2,Douglas,MA
1518,MA1,Fiskdale,MA
1519,MA2,Grafton,MA
1520,MA2,Holden,MA
1521,MA1,Holland,MA
1522,MA2,Jefferson,MA
1523,MA3,Lancaster,MA
1524,MA2,Leicester,MA
1527,MA2,Millbury,MA
1529,MA2,Millville,MA
1531,MA2,New Braintree,MA
1532,MA2,Northborough,MA
1534,MA2,Northbridge,MA
1535,MA2,North Brookfield,MA
1536,MA2,North Grafton,MA
1537,MA2,North Oxford,MA
1540,MA2,Oxford,MA
1541,MA2,Princeton,MA
1542,MA2,Rochdale,MA
1543,MA2,Rutland,MA
1545,MA2,Shrewsbury,MA
1550,MA1,Southbridge,MA
1560,MA2,South Grafton,MA
1562,MA2,Spencer,MA
1564,MA2,Sterling,MA
1566,MA1,Sturbridge,MA
1568,MA2,Upton,MA
1569,MA2,Uxbridge,MA
1570,MA2,Webster,MA
1571,MA1,Dudley,MA
1581,MA5,Westborough,MA
1581,MA2,Westborough,MA
1583,MA2,West Boylston,MA
1585,MA1,West Brookfield,MA
1585,MA2,West Brookfield,MA
1588,MA2,Whitinsville,MA
1590,MA2,Sutton,MA
1602,MA2,Worcester,MA
1603,MA2,Worcester,MA
1604,MA2,Worcester,MA
1605,MA2,Worcester,MA
1606,MA2,Worcester,MA
1607,MA2,Worcester,MA
1608,MA2,Worcester,MA
1609,MA2,Worcester,MA
1610,MA2,Worcester,MA
1611,MA2,Cherry Valley,MA
