State,Abbreviation,Number,districtcode
Alabama,AL,7,AL7
Alabama,AL,2,AL2
Alabama,AL,1,AL1
Alabama,AL,5,AL5
Alabama,AL,4,AL4
Alabama,AL,6,AL6
Alabama,AL,3,AL3
Alaska,AK,0,AK0
Arizona,AZ,2,AZ2
Arizona,AZ,5,AZ5
Arizona,AZ,9,AZ9
Arizona,AZ,3,AZ3
Arizona,AZ,4,AZ4
Arizona,AZ,6,AZ6
Arizona,AZ,7,AZ7
Arizona,AZ,8,AZ8
Arizona,AZ,1,AZ1
Arkansas,AR,1,AR1
Arkansas,AR,4,AR4
Arkansas,AR,2,AR2
Arkansas,AR,3,AR3
California,CA,2,CA2
California,CA,6,CA6
California,CA,46,CA46
California,CA,3,CA3
California,CA,4,CA4
California,CA,7,CA7
California,CA,10,CA10
California,CA,47,CA47
California,CA,8,CA8
California,CA,1,CA1
California,CA,27,CA27
California,CA,28,CA28
California,CA,29,CA29
California,CA,5,CA5
California,CA,31,CA31
California,CA,32,CA32
California,CA,33,CA33
California,CA,30,CA30
California,CA,34,CA34
California,CA,35,CA35
California,CA,36,CA36
California,CA,20,CA20
California,CA,26,CA26
California,CA,39,CA39
California,CA,40,CA40
California,CA,41,CA41
California,CA,42,CA42
California,CA,43,CA43
California,CA,44,CA44
California,CA,45,CA45
California,CA,37,CA37
California,CA,48,CA48
California,CA,9,CA9
California,CA,49,CA49
California,CA,15,CA15
California,CA,38,CA38
California,CA,13,CA13
California,CA,14,CA14
California,CA,19,CA19
California,CA,16,CA16
California,CA,17,CA17
California,CA,18,CA18
California,CA,23,CA23
California,CA,11,CA11
California,CA,21,CA21
California,CA,22,CA22
California,CA,52,CA52
California,CA,53,CA53
California,CA,12,CA12
California,CA,25,CA25
California,CA,51,CA51
California,CA,24,CA24
California,CA,50,CA50
Colorado,CO,1,CO1
Colorado,CO,5,CO5
Colorado,CO,4,CO4
Colorado,CO,2,CO2
Colorado,CO,3,CO3
Colorado,CO,6,CO6
Colorado,CO,7,CO7
Connecticut,CT,2,CT2
Connecticut,CT,1,CT1
Connecticut,CT,4,CT4
Connecticut,CT,5,CT5
Connecticut,CT,3,CT3
Delaware,DE,0,DE0
Florida,FL,21,FL21
Florida,FL,8,FL8
Florida,FL,1,FL1
Florida,FL,2,FL2
Florida,FL,3,FL3
Florida,FL,4,FL4
Florida,FL,5,FL5
Florida,FL,6,FL6
Florida,FL,7,FL7
Florida,FL,9,FL9
Florida,FL,10,FL10
Florida,FL,11,FL11
Florida,FL,16,FL16
Florida,FL,17,FL17
Florida,FL,18,FL18
Florida,FL,15,FL15
Florida,FL,20,FL20
Florida,FL,12,FL12
Florida,FL,13,FL13
Florida,FL,19,FL19
Florida,FL,22,FL22
Florida,FL,25,FL25
Florida,FL,26,FL26
Florida,FL,27,FL27
Florida,FL,24,FL24
Florida,FL,23,FL23
Florida,FL,14,FL14
Georgia,GA,4,GA4
Georgia,GA,5,GA5
Georgia,GA,3,GA3
Georgia,GA,7,GA7
Georgia,GA,8,GA8
Georgia,GA,1,GA1
Georgia,GA,2,GA2
Georgia,GA,13,GA13
Georgia,GA,14,GA14
Georgia,GA,6,GA6
Georgia,GA,11,GA11
Georgia,GA,10,GA10
Georgia,GA,12,GA12
Georgia,GA,9,GA9
Hawaii,HI,1,HI1
Hawaii,HI,2,HI2
Idaho,ID,2,ID2
Idaho,ID,1,ID1
Illinois,IL,16,IL16
Illinois,IL,1,IL1
Illinois,IL,15,IL15
Illinois,IL,5,IL5
Illinois,IL,2,IL2
Illinois,IL,3,IL3
Illinois,IL,14,IL14
Illinois,IL,9,IL9
Illinois,IL,10,IL10
Illinois,IL,11,IL11
Illinois,IL,4,IL4
Illinois,IL,13,IL13
Illinois,IL,18,IL18
Illinois,IL,6,IL6
Illinois,IL,12,IL12
Illinois,IL,17,IL17
Illinois,IL,8,IL8
Illinois,IL,7,IL7
Indiana,IN,8,IN8
Indiana,IN,9,IN9
Indiana,IN,5,IN5
Indiana,IN,3,IN3
Indiana,IN,4,IN4
Indiana,IN,7,IN7
Indiana,IN,6,IN6
Indiana,IN,2,IN2
Indiana,IN,1,IN1
Iowa,IA,1,IA1
Iowa,IA,3,IA3
Iowa,IA,4,IA4
Iowa,IA,2,IA2
Kansas,KS,4,KS4
Kansas,KS,2,KS2
Kansas,KS,1,KS1
Kansas,KS,3,KS3
Kentucky,KY,6,KY6
Kentucky,KY,2,KY2
Kentucky,KY,5,KY5
Kentucky,KY,1,KY1
Kentucky,KY,3,KY3
Kentucky,KY,4,KY4
Louisiana,LA,6,LA6
Louisiana,LA,2,LA2
Louisiana,LA,3,LA3
Louisiana,LA,4,LA4
Louisiana,LA,5,LA5
Louisiana,LA,1,LA1
Maine,ME,1,ME1
Maine,ME,2,ME2
Maryland,MD,3,MD3
Maryland,MD,7,MD7
Maryland,MD,4,MD4
Maryland,MD,5,MD5
Maryland,MD,6,MD6
Maryland,MD,1,MD1
Maryland,MD,8,MD8
Maryland,MD,2,MD2
Massachusetts,MA,1,MA1
Massachusetts,MA,2,MA2
Massachusetts,MA,3,MA3
