"district.state","district.number"
"1","Louisiana","6"
"2","Maine","1"
"3","Maine","2"
"4","Maryland","1"
"5","Maryland","2"
"6","Maryland","3"
"7","Maryland","4"
"8","Maryland","5"
"9","Maryland","6"
"10","Maryland","7"
"11","Maryland","8"
"12","Massachusetts","1"
"13","Massachusetts","2"
"14","Massachusetts","3"
"15","Massachusetts","4"
"16","Massachusetts","5"
"17","Massachusetts","6"
"18","Massachusetts","7"
"19","Massachusetts","8"
"20","Massachusetts","9"
"21","Michigan","1"
"22","Michigan","2"
"23","Michigan","3"
"24","Michigan","4"
"25","Michigan","5"
"26","Michigan","6"
"27","Michigan","7"
"28","Michigan","8"
"29","Michigan","9"
"30","Michigan","10"
"31","Michigan","11"
"32","Michigan","12"
"33","Michigan","13"
"34","Michigan","14"
"35","Minnesota","1"
"36","Minnesota","2"
"37","Minnesota","3"
"38","Minnesota","4"
"39","Minnesota","5"
"40","Minnesota","6"
"41","Minnesota","7"
"42","Minnesota","8"
"43","Mississippi","1"
"44","Mississippi","2"
"45","Mississippi","3"
"46","Mississippi","4"
"47","Missouri","1"
"48","Missouri","2"
"49","Missouri","3"
"50","Missouri","4"
"51","Missouri","5"
"52","Missouri","6"
"53","Missouri","7"
"54","Missouri","8"
"55","Montana","0"
"56","Nebraska","1"
"57","Nebraska","2"
"58","Nebraska","3"
"59","Nevada","1"
"60","Nevada","2"
"61","Nevada","3"
"62","Nevada","4"
"63","New Hampshire","1"
"64","New Hampshire","2"
"65","New Jersey","1"
"66","New Jersey","2"
"67","New Jersey","3"
"68","New Jersey","4"
"69","New Jersey","5"
"70","Oklahoma","1"
"71","Oklahoma","2"
"72","Oklahoma","3"
"73","Oklahoma","4"
"74","Oklahoma","5"
"75","Oregon","1"
"76","Oregon","2"
"77","Oregon","3"
"78","Oregon","4"
"79","Oregon","5"
"80","Pennsylvania","1"
"81","Pennsylvania","2"
"82","Pennsylvania","3"
"83","Pennsylvania","4"
"84","Pennsylvania","5"
"85","Pennsylvania","6"
"86","Pennsylvania","7"
"87","Pennsylvania","8"
"88","Pennsylvania","9"
"89","Pennsylvania","10"
"90","Pennsylvania","11"
"91","Pennsylvania","12"
"92","Pennsylvania","13"
"93","Pennsylvania","14"
"94","Pennsylvania","15"
"95","Pennsylvania","16"
"96","Pennsylvania","17"
"97","Pennsylvania","18"
"98","Rhode Island","1"
"99","Rhode Island","2"
"100","South Carolina","1"
"101","South Carolina","2"
"102","South Carolina","3"
"103","South Carolina","4"
"104","South Carolina","5"
"105","South Carolina","6"
"106","South Carolina","7"
"107","South Dakota","0"
"108","Tennessee","1"
"109","Tennessee","2"
"110","Tennessee","3"
"111","Tennessee","4"
"112","Tennessee","5"
"113","Tennessee","6"
"114","Tennessee","7"
"115","Tennessee","8"
"116","Tennessee","9"
"117","Texas","1"
"118","Texas","2"
"119","Texas","3"
"120","Texas","4"
"121","Texas","5"
"122","Texas","6"
"123","Texas","7"
"124","Texas","8"
"125","Texas","9"
"126","Texas","10"
"127","Texas","11"
"128","Texas","12"
"129","Texas","13"
"130","Texas","14"
"131","Texas","15"
"132","Texas","16"
